complex_id	proteins
683	P22354 P38064 Q06090
684	P15367 Q04969 Q12133
685	P38969 P40990 P53239
686	P14693 P50110 P53969
687	P22135 P40491 Q03028
688	P14693 P50110 P53969
689	P38969 P40990 P53239
690	P22135 P40491 Q03028
691	P11412 P46367 P54115
692	P04806 P04807 P17709
693	P35734 P36162 Q03954 Q12248
694	P38969 P40990 P53239
695	P43124 Q05541 Q07913
696	P32804 P34240 Q12436
697	P32804 P34240 Q12436
698	P16661 P38179 P53954
699	P04806 P04807 P17709
700	P32804 P34240 Q12436
701	P08432 P21182 P53259
702	P53271 P53951 Q04632
703	P40359 P53135 Q12488
704	P41733 P49018 Q04080
705	P41733 P49018 Q04080
706	P41733 P49018 Q04080
707	P41733 P49018 Q04080
708	P41733 P49018 Q04080
709	P41733 P49018 Q04080
710	P41733 P49018 Q04080
711	P15019 P23254 P33315
712	P15019 P23254 P33315
713	P22203 P31412 P32610
714	P22203 P31412 P32610
715	P22203 P31412 P32610
716	P12868 P20795 P27801 P39702 Q03308
717	P12868 P20795 P27801 P39702 Q03308
718	P18900 P32622 Q06892
719	P18900 P32622 Q06892
720	P18900 P32622 Q06892
721	P18900 P32622 Q06892
722	P18900 P32622 Q06892
723	P18900 P32622 Q06892
724	P18900 P32622 Q06892
725	P18900 P32622 Q06892
726	P18900 P32622 Q06892
727	P18900 P32622 Q06892
728	P18900 P32622 Q06892
729	P18900 P32622 Q06892
730	P18900 P32622 Q06892
731	P18900 P32622 Q06892
732	P36516 P36519 P53875
733	P36516 P36519 P53875
734	P36516 P36519 P53875
735	P36516 P36519 P53875
736	P36516 P36519 P53875
737	P36516 P36519 P53875
738	P36516 P36519 P53875
739	P36516 P36519 P53875
740	P36516 P36519 P53875
741	P36516 P36519 P53875
742	P36516 P36519 P53875
743	P25694 P33755 P53044
744	P25694 P33755 P53044
745	P25694 P33755 P53044
746	P25694 P33755 P53044
747	P09457 P30902 Q06405
748	P09457 P30902 Q06405
749	P23585 P32465 P32466 P32467 P38695 P39003 P39004
750	P23585 P32465 P32466 P32467 P38695 P39003 P39004
751	P23585 P32465 P32466 P32467 P38695 P39003 P39004
752	P23585 P32465 P32466 P32467 P38695 P39003 P39004
753	P23585 P32465 P32466 P32467 P38695 P39003 P39004
754	P23585 P32465 P32466 P32467 P38695 P39003 P39004
755	P23585 P32465 P32466 P32467 P38695 P39003 P39004
756	P23585 P32465 P32466 P32467 P38695 P39003 P39004
757	P23585 P32465 P32466 P32467 P38695 P39003 P39004
758	P23585 P32465 P32466 P32467 P38695 P39003 P39004
759	P23585 P32465 P32466 P32467 P38695 P39003 P39004
760	P23585 P32465 P32466 P32467 P38695 P39003 P39004
761	P24279 P29469 P30665 P53091
762	P24279 P29469 P30665 P53091
763	P24279 P29469 P30665 P53091
764	P24279 P29469 P30665 P53091
765	P17890 P32349 P35718 P47076
766	P17890 P32349 P35718 P47076
767	P35734 P36162 Q03954 Q12248
768	P35734 P36162 Q03954 Q12248
769	P35734 P36162 Q03954 Q12248
770	P35734 P36162 Q03954 Q12248
771	P35734 P36162 Q03954 Q12248
772	P35734 P36162 Q03954 Q12248
773	P16661 P43636 P53954
774	P16661 P43636 P53954
775	P16661 P43636 P53954
776	P16661 P43636 P53954
777	P16661 P43636 P53954
778	P16661 P43636 P53954
779	P16661 P43636 P53954
780	P16661 P43636 P53954
781	P16661 P43636 P53954
782	P16661 P43636 P53954
783	P16661 P43636 P53954
784	P16661 P43636 P53954
785	P16661 P43636 P53954
786	P16661 P43636 P53954
787	P16661 P43636 P53954
788	P16661 P43636 P53954
789	P16661 P43636 P53954
790	P16661 P43636 P53954
791	P16661 P43636 P53954
792	P16661 P43636 P53954
793	P16661 P43636 P53954
794	P16661 P43636 P53954
795	P16661 P43636 P53954
796	P16661 P43636 P53954
797	P16661 P43636 P53954
798	P16661 P43636 P53954
799	P16661 P43636 P53954
800	P48231 Q03640 Q12466
801	P48231 Q03640 Q12466
802	P48231 Q03640 Q12466
803	P48231 Q03640 Q12466
804	P48231 Q03640 Q12466
805	P48231 Q03640 Q12466
806	P48231 Q03640 Q12466
807	P48231 Q03640 Q12466
808	P48231 Q03640 Q12466
809	P48231 Q03640 Q12466
810	P48231 Q03640 Q12466
811	P48231 Q03640 Q12466
812	P48231 Q03640 Q12466
813	P48231 Q03640 Q12466
814	P48231 Q03640 Q12466
815	P48231 Q03640 Q12466
816	P48231 Q03640 Q12466
817	P05626 P38077 Q12349
818	P05626 P38077 Q12349
819	P05626 P38077 Q12349
820	P05626 P38077 Q12349
821	P05626 P38077 Q12349
822	P05626 P38077 Q12349
823	P23968 P25515 P32842
824	P23968 P25515 P32842
825	P32623 P53301 Q05790
826	P32623 P53301 Q05790
827	P32623 P53301 Q05790
828	P32623 P53301 Q05790
829	P32623 P53301 Q05790
830	P32623 P53301 Q05790
831	P32623 P53301 Q05790
832	P32623 P53301 Q05790
833	P32623 P53301 Q05790
834	P32623 P53301 Q05790
835	P32623 P53301 Q05790
836	P32623 P53301 Q05790
837	P32623 P53301 Q05790
838	P32623 P53301 Q05790
839	P32623 P53301 Q05790
840	P32623 P53301 Q05790
841	P32623 P53301 Q05790
842	P32623 P53301 Q05790
843	P32623 P53301 Q05790
844	P32623 P53301 Q05790
845	P32623 P53301 Q05790
846	P32623 P53301 Q05790
847	P32623 P53301 Q05790
848	P32623 P53301 Q05790
849	P32623 P53301 Q05790
850	P32623 P53301 Q05790
